,gage_id,year,burned_area,basin_area,burned_prop,snowy_area,snowy_burned_area,snowy_prop,sba_xs_prop,sba_prop
0,06093200,2015.0,109128478.01615697,396820639.0728322,0.2750070618079106,396820639.07283247,109128478.01615694,1.0000000000000007,-8.881784197001252e-16,0.9999999999999998
1,06192500,1988.0,2930870208.720008,9209011195.64089,0.318261119077295,9209011195.640959,2930870208.720008,1.0000000000000075,-7.549516567451064e-15,1.0
2,06224000,2012.0,103629523.48557387,484857490.2087596,0.21373192242725852,484857490.20875907,103629523.48557399,0.9999999999999989,2.220446049250313e-15,1.000000000000001
3,06280300,2013.0,104857301.84879877,793946026.6536317,0.1320710707385957,793946026.6536309,104857301.84879866,0.999999999999999,0.0,0.999999999999999
4,07207500,2002.0,256657666.84235668,480923681.15782434,0.5336764998231176,383352063.5362917,183848720.31294098,0.7971162131450279,-0.080797380457034,0.7163188326879939
5,08291000,2013.0,17363869.586298723,238815161.13525304,0.07270840554576302,190682867.6848425,17363869.586298723,0.7984537781370137,0.20154622186298632,1.0
6,08324000,2011.0,103435421.51000725,1207948266.0535705,0.08562901609018085,1052526193.6101289,103435421.51000716,0.8713338337317925,0.1286661662682066,0.9999999999999991
7,08378500,2013.0,41907505.6088741,444959448.3096316,0.09418275253638876,346263999.2950647,33095529.539133076,0.7781922613633586,0.011535713573067818,0.7897279749364264
8,09210500,2000.0,55836005.44150133,398305569.4691425,0.14018384306279968,398305569.4691397,55836005.4415013,0.999999999999993,6.439293542825908e-15,0.9999999999999994
9,09342500,2013.0,81395723.91536455,726892244.9803253,0.111977702991683,726892244.9803253,81395723.91536464,1.0,1.1102230246251565e-15,1.000000000000001
10,09404450,2012.0,27248412.51935171,192960350.8604452,0.14121249468010447,192960350.86044568,27248412.519351766,1.0000000000000024,-4.440892098500626e-16,1.000000000000002
11,09430600,2012.0,175177302.08736464,190522334.57358515,0.9194580912491715,75425689.86392328,73658011.78409517,0.3958889651060397,0.02458795117481699,0.4204769162808567
12,09496500,2002.0,725398791.9468734,1143370284.446827,0.634439080509975,637706569.9184026,501661824.2881724,0.5577428227697302,0.13382411924540483,0.691566942015135
13,09497800,2002.0,251519786.54368958,750862340.4979826,0.33497456587964985,178872627.97496176,137868610.00305885,0.23822293159133653,0.30991927184167545,0.548142203433012
14,09497980,2016.0,50342735.591923386,516795958.80707407,0.09741317580758582,118674887.79882759,4315899.399733771,0.22963586648929332,-0.14390553521134464,0.0857303312779487
15,09499000,2004.0,165701793.00497484,1741359528.8853207,0.09515656603725246,373985783.66631603,29737156.25410258,0.21476655306541542,-0.03530466725944961,0.1794618858059658
16,09504500,2014.0,100826110.28954478,918911792.6604664,0.1097233826955571,496676564.53434724,39586642.48560437,0.5405051589297286,-0.14788223246829468,0.39262292646143393
17,09505350,2014.0,27146642.80619762,365658995.8295395,0.07424032531898289,264466512.65268743,27146642.806197576,0.7232599653475357,0.27674003465246266,0.9999999999999983
18,09505800,2016.0,121932286.82479659,614941813.500632,0.19828264097164253,530686321.07858324,121932286.82479732,0.862986236140922,0.13701376385908404,1.000000000000006
19,09507980,2004.0,74205188.9861954,843922048.3323549,0.0879289611319312,236777392.38675514,15291914.003314413,0.2805678472966108,-0.07449177347703986,0.2060760738195709
20,09508300,2004.0,77776310.2334582,92999755.00852327,0.8363066142091464,15125158.05767878,15125158.05767878,0.16263653658326932,0.031833450643923206,0.19446998722719253
21,09510200,2005.0,163422326.07883614,425307779.2872386,0.38424485522628116,5834104.340875642,0.0,0.013717370396217192,-0.013717370396217192,0.0
22,10150500,2018.0,537021457.3941845,1629842729.0546129,0.32949280799975267,1629842729.0546086,537021457.3941842,0.9999999999999973,2.220446049250313e-15,0.9999999999999996
